Common Name,Kingdom,Phylum,Class,Order,Family,Genus,Conservation Status
Harbour porpoise,Animalia,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Least Concern (IUCN 3.1)[3]
Harbor seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Least Concern (IUCN 3.1)[1]
Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,"LepusLinnaeus, 1758",nan
Harp seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,"PagophilusGray, 1844",Least Concern (IUCN 3.1)[1]
Hawaiian monk seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus,Endangered (IUCN 3.1)[1]
Hedgehog,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceidae,nan,nan
Hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Vulnerable (IUCN 3.1)[1]
Horn shark,Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Data Deficient (IUCN 3.1)[1]
Horse,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Domesticated
Howler monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,"AlouattaLacepede, 1799",nan
Humpback whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,"MegapteraGray, 1846",Least Concern (IUCN 3.1)[3]
Hyena,Animalia,Chordata,Mammalia,Carnivora,"HyaenidaeGray, 1821",nan,nan
Hyrax,Animalia,Chordata,Mammalia,"HyracoideaHuxley, 1869",nan,nan,nan
Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"IguanaLaurenti, 1768",nan
Iguanodon,Animalia,Chordata,nan,†Ornithischia,†Iguanodontidae,"†IguanodonMantell, 1825[1]",nan
Impala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"AepycerosSundevall, 1847",Least Concern (IUCN 3.1)[1]
Insect,Animalia,Arthropoda,"InsectaLinnaeus, 1758",nan,nan,nan,nan
Irrawaddy dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcaella,Endangered (IUCN 3.1)[1]
Jackal,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,nan
Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,"LepusLinnaeus, 1758",nan
Jaguar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Near Threatened (IUCN 3.1)[1]
Jellyfish,Animalia,Cnidaria,nan,nan,nan,nan,nan
Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,"MacropodidaeGray, 1821",nan,nan
Kermode bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,nan
Killer whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"OrcinusFitzinger, 1860[5]",Data Deficient (IUCN 3.1)[3]
Koala,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Vulnerable (IUCN 3.1)[1]
Komodo dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Vulnerable (IUCN 2.3)[2]
Kookaburra,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,"DaceloLeach, 1815",nan
Lamb,nan,nan,nan,nan,nan,nan,nan
Lancelet,Animalia,Chordata,"LeptocardiiMüller, 1845","AmphioxiformesObscure, 1886",nan,nan,nan
Least weasel,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Least Concern (IUCN 3.1)[1]
Leatherback sea turtle,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,"DermochelysBlainville, 1816[3]",Vulnerable (IUCN 3.1)[1]
Lemming,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,nan,nan
Lemon shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,Near Threatened (IUCN 3.1)[2]
